Address,Rooms,Price,Bedroom2,Bathroom,Landsize,YearBuilt,Regionname,Suburb,Type
44 Morley St,4,825000,4,2,768,1970,Northern Metropolitan,Glenroy,h
33 View St,4,638000,4,2,624,2005,Northern Metropolitan,Glenroy,h
1 Gowanbrae Dr,3,631000,3,2,608,2001,Western Metropolitan,Gowanbrae,h
31 Seggan Cir,3,532000,3,2,149,2005,Western Metropolitan,Gowanbrae,t
13 Seggan Cir,3,500000,3,2,140,,Western Metropolitan,Gowanbrae,h
41 Balerno Cir,3,504000,3,2,215,2004,Western Metropolitan,Gowanbrae,h
39 Balerno Cir,3,468000,3,2,178,2000,Western Metropolitan,Gowanbrae,t
2 Mirrim Pl,4,802500,4,2,0,2005,Western Metropolitan,Gowanbrae,h
8 Perth Ct,4,709000,4,2,453,2007,Western Metropolitan,Gowanbrae,h
3 Gowanbrae Dr,3,700000,3,2,691,,Western Metropolitan,Gowanbrae,h
42 Seggan Cir,3,485000,3,2,175,2004,Western Metropolitan,Gowanbrae,h
6 Birk Ct,3,540000,3,2,367,2008,Western Metropolitan,Gowanbrae,h
24 Balerno Cir,3,390000,3,2,158,2005,Western Metropolitan,Gowanbrae,h
18 Primula Bvd,4,800000,4,2,719,2000,Western Metropolitan,Gowanbrae,h
14 Birk Ct,3,525000,3,2,223,,Western Metropolitan,Gowanbrae,h
8 Perth Ct,4,740000,4,2,453,2007,Western Metropolitan,Gowanbrae,h
20 Bedford St,3,605000,3,1,597,1960,Northern Metropolitan,Hadfield,h
29 Sutherland St,3,685500,3,1,724,1970,Northern Metropolitan,Hadfield,h
2 Knole St,2,610000,2,1,394,1950,Northern Metropolitan,Hadfield,h
8 Sherwood St,3,630000,3,1,604,1970,Northern Metropolitan,Hadfield,h
4 Surrey St,4,870000,4,3,591,2010,Northern Metropolitan,Hadfield,h
26 South St,3,810000,3,2,592,1950,Northern Metropolitan,Hadfield,h
70 West St,3,840000,3,1,608,,Northern Metropolitan,Hadfield,h
16 Bedford St,5,585000,5,2,590,,Northern Metropolitan,Hadfield,h
41 Davies St,4,772500,3,2,595,1983,Northern Metropolitan,Hadfield,h
21a Edgar St,3,465000,3,1,225,2005,Northern Metropolitan,Hadfield,u
10 Volga St,3,719000,3,1,692,1980,Northern Metropolitan,Hadfield,h
2/3 Surrey St,2,487000,2,1,198,2010,Northern Metropolitan,Hadfield,u
115 West St,4,700000,2,2,700,1950,Northern Metropolitan,Hadfield,h
148 West St,4,600500,4,2,462,1970,Northern Metropolitan,Hadfield,h
27 Middle St,3,730000,3,1,570,1970,Northern Metropolitan,Hadfield,h
75 West St,3,800000,3,2,565,1960,Northern Metropolitan,Hadfield,h
25 Francis St,4,918000,4,2,763,,Northern Metropolitan,Hadfield,h
24 South St,3,750000,3,2,301,2011,Northern Metropolitan,Hadfield,t
40 Angus St,3,740000,3,1,568,1960,Northern Metropolitan,Hadfield,h
72 Middle St,3,721000,3,1,539,1960,Northern Metropolitan,Hadfield,h
9 South St,3,646000,3,1,574,1970,Northern Metropolitan,Hadfield,h
1/32 Sutherland St,3,545000,3,2,230,2000,Northern Metropolitan,Hadfield,h
4 Thames St,3,770000,3,1,700,,Northern Metropolitan,Hadfield,h
1 Barunah St,4,777000,3,1,700,1960,Northern Metropolitan,Hadfield,h
101 Middle St,2,722000,3,3,580,1950,Northern Metropolitan,Hadfield,h
23 Surrey St,2,545000,2,1,591,1960,Northern Metropolitan,Hadfield,h
1/22 Volga St,3,510000,3,2,234,2012,Northern Metropolitan,Hadfield,t
11 Dickinson St,2,542500,2,1,359,1960,Northern Metropolitan,Hadfield,h
24 Talbot St,3,631500,4,1,593,1965,Northern Metropolitan,Hadfield,h
24A South St,4,750074,4,2,302,,Northern Metropolitan,Hadfield,h
35 Angus St,3,591000,3,1,557,,Northern Metropolitan,Hadfield,h
19 Barbara St,3,550000,3,1,610,1960,Northern Metropolitan,Hadfield,h
100 South St,2,330000,2,1,249,1970,Northern Metropolitan,Hadfield,h
13 Gish Ct,5,800000,5,2,808,,Northern Metropolitan,Hadfield,h
42 West St,3,725000,3,2,560,,Northern Metropolitan,Hadfield,h
28 Gish Ct,4,815000,4,2,672,1950,Northern Metropolitan,Hadfield,h
92 West St,2,715888,2,1,613,1960,Northern Metropolitan,Hadfield,h
119 Middle St,4,650000,4,1,588,,Northern Metropolitan,Hadfield,h
2/22 Volga St,2,468000,2,1,137,2012,Northern Metropolitan,Hadfield,t
3 Charles St,3,1102000,3,1,1020,,Northern Metropolitan,Hadfield,h
25 East St,2,515000,2,1,345,1990,Northern Metropolitan,Hadfield,h
14 Sutherland St,3,716000,3,1,594,,Northern Metropolitan,Hadfield,h
38 Tassell St,2,640000,2,1,612,,Northern Metropolitan,Hadfield,h
21 Volga St,2,460000,2,1,360,,Northern Metropolitan,Hadfield,h
1/30 Grenville St,2,895000,2,1,228,1975,Southern Metropolitan,Hampton,u
6/334 Hampton St,2,587000,2,1,0,1975,Southern Metropolitan,Hampton,u
38 Myrtle Rd,4,2800000,3,3,701,2015,Southern Metropolitan,Hampton,h
3/31 Thomas St,2,720000,2,1,832,,Southern Metropolitan,Hampton,u
36 Thomas St,4,3250000,4,3,928,1904,Southern Metropolitan,Hampton,h
6 Earlsfield Rd,4,2140000,4,2,688,1925,Southern Metropolitan,Hampton,h
3 Kendall St,4,1600000,4,2,607,2011,Southern Metropolitan,Hampton,h
108 Orlando St,3,2200000,3,2,1402,,Southern Metropolitan,Hampton,t
24A Smith St,3,1003500,3,1,289,1998,Southern Metropolitan,Hampton,h
8/121 Thomas St,2,802000,2,1,0,1965,Southern Metropolitan,Hampton,u
25 Thomas St,4,1500000,4,1,692,,Southern Metropolitan,Hampton,t
78 Thomas St,4,1686500,4,2,664,,Southern Metropolitan,Hampton,h
2/524 Bluff Rd,5,1400000,5,2,434,,Southern Metropolitan,Hampton,h
8 Bronte Ct,3,1560000,3,1,593,1955,Southern Metropolitan,Hampton,h
1/88 Fewster Rd,2,680000,2,1,0,,Southern Metropolitan,Hampton,u
35 Teddington Rd,3,1715000,3,1,765,,Southern Metropolitan,Hampton,h
3/46 Fewster Rd,2,760000,2,1,90,1985,Southern Metropolitan,Hampton,u
5/440 Hampton St,2,616000,2,1,0,2005,Southern Metropolitan,Hampton,u
131 Linacre Rd,4,1680000,4,1,723,1955,Southern Metropolitan,Hampton,h
139 Linacre Rd,5,2520000,5,4,661,1960,Southern Metropolitan,Hampton,h
72b David St,2,890000,1,2,181,,Southern Metropolitan,Hampton,t
66a Thomas St,3,1120000,4,2,373,1984,Southern Metropolitan,Hampton,h
4 Bendigo St,4,3200000,4,3,760,1920,Southern Metropolitan,Hampton,h
43 Fewster Rd,4,1250000,4,3,398,2014,Southern Metropolitan,Hampton,h
30 Holyrood St,4,2420000,3,3,560,,Southern Metropolitan,Hampton,h
54 Linacre Rd,4,2000000,4,3,615,1925,Southern Metropolitan,Hampton,h
22 Margarita St,4,2880000,4,3,687,,Southern Metropolitan,Hampton,h
42 Myrtle Rd,5,1805000,4,2,700,1950,Southern Metropolitan,Hampton,h
50 Earlsfield Rd,4,1460000,4,2,487,,Southern Metropolitan,Hampton,h
73 Linacre Rd,3,1403000,3,1,495,,Southern Metropolitan,Hampton,h
70 Teddington Rd,3,1682000,3,1,767,,Southern Metropolitan,Hampton,h
344 Hampton St,4,1875000,4,2,685,,Southern Metropolitan,Hampton,h
310 Hampton St,4,2600000,3,1,1504,1900,Southern Metropolitan,Hampton,h
27/78 Holyrood St,2,685000,2,1,0,,Southern Metropolitan,Hampton,u
18 Kingston St,4,2400000,4,2,663,,Southern Metropolitan,Hampton,h
65 Linacre Rd,5,3470000,5,3,670,2008,Southern Metropolitan,Hampton,h
118 Ludstone St,2,1615000,2,1,801,1934,Southern Metropolitan,Hampton,h
29 Olive St,4,1450000,4,2,450,,Southern Metropolitan,Hampton,h
3/13 Foam St,2,786000,2,1,162,1970,Southern Metropolitan,Hampton,u
3/308 Hampton St,2,742000,2,3,245,,Southern Metropolitan,Hampton,u
7 Austin Rd,3,1050000,3,2,357,1970,Southern Metropolitan,Hampton,h
63 Beach Rd,2,1690000,2,1,319,,Southern Metropolitan,Hampton,h
3/1 Edinburgh St,3,810000,3,1,195,1960,Southern Metropolitan,Hampton,u
1/33 Holyrood St,3,1460000,3,2,413,1970,Southern Metropolitan,Hampton,h
26 Teddington Rd,3,1620000,3,1,783,,Southern Metropolitan,Hampton,h
2b Carolyn St,3,1420000,3,2,277,2012,Southern Metropolitan,Hampton,h
12 Foam St,4,2400000,4,2,802,1935,Southern Metropolitan,Hampton,h
29 Thomas St,5,3075000,3,2,830,1901,Southern Metropolitan,Hampton,h
75 Crisp St,5,3201000,5,3,760,1935,Southern Metropolitan,Hampton,h
4/308 Hampton St,2,875500,2,2,225,1970,Southern Metropolitan,Hampton,u
6/63 Linacre Rd,3,1400000,3,2,211,2000,Southern Metropolitan,Hampton,t
5b Ocean St,3,1457500,3,2,0,,Southern Metropolitan,Hampton,u
16 Smith St,5,2600000,5,4,1000,1950,Southern Metropolitan,Hampton,h
3 Smith St,2,1465000,2,1,581,,Southern Metropolitan,Hampton,h
70 Highett Rd,5,1705000,5,2,648,1950,Southern Metropolitan,Hampton,h
11 Kerferd St,3,1610000,3,1,569,,Southern Metropolitan,Hampton,h
4/32 Linacre Rd,2,750000,2,1,153,1970,Southern Metropolitan,Hampton,u
58 Teddington Rd,3,1320000,3,2,320,,Southern Metropolitan,Hampton,h
11 Conifer St,2,896000,2,2,677,,Southern Metropolitan,Hampton,u
29 Grenville St,3,1450000,3,2,413,,Southern Metropolitan,Hampton,h
1/3 Littlewood St,2,898000,2,1,266,1970,Southern Metropolitan,Hampton,u
6 Valerian St,4,1515000,4,2,611,1950,Southern Metropolitan,Hampton,h
107 Willis St,5,2980000,5,3,694,2011,Southern Metropolitan,Hampton,h
50 Holyrood St,4,2200000,4,3,583,2000,Southern Metropolitan,Hampton,h
1/237 Hampton St,1,500000,1,1,0,,Southern Metropolitan,Hampton,u
2/95 Thomas St,3,1100000,3,2,355,1987,Southern Metropolitan,Hampton,t
2/442 Bluff Rd,2,800000,2,1,282,,Southern Metropolitan,Hampton,u
53 Bridge St,4,3325000,4,3,627,1997,Southern Metropolitan,Hampton,h
5/46 Fewster Rd,2,691000,2,1,0,,Southern Metropolitan,Hampton,u
17/93 Highett Rd,2,450000,2,2,0,2007,Southern Metropolitan,Hampton,u
3/56 Beach Rd,2,738000,2,1,3414,,Southern Metropolitan,Hampton,u
3/22 Holyrood St,3,1140000,3,2,224,1999,Southern Metropolitan,Hampton,t
3/8 Alicia St,2,500000,2,1,0,1970,Southern Metropolitan,Hampton,u
64 Earlsfield Rd,4,1460000,4,3,562,1950,Southern Metropolitan,Hampton,h
10 Talbot St,4,2800000,4,3,1093,,Southern Metropolitan,Hampton,h
1/514 Bluff Rd,3,820000,3,2,0,,Southern Metropolitan,Hampton,t
91A Linacre Rd,2,915500,2,2,0,,Southern Metropolitan,Hampton,t
49 Service St,4,1740000,4,3,414,1950,Southern Metropolitan,Hampton,h
136 Thomas St,1,2450000,1,2,994,,Southern Metropolitan,Hampton,h
15 Avelin St,4,1800000,4,2,667,1935,Southern Metropolitan,Hampton,h
41 Orlando St,4,2160000,4,2,577,1940,Southern Metropolitan,Hampton,h
6 Highett Rd,3,1800000,2,2,920,,Southern Metropolitan,Hampton,h
38 Orlando St,3,2439500,3,2,662,1880,Southern Metropolitan,Hampton,h
52 Service St,4,2250000,5,2,647,1925,Southern Metropolitan,Hampton,h
18 Kanowna St,4,2130000,4,2,714,1925,Southern Metropolitan,Hampton,h
9/12 Bartlett St,2,400000,2,1,0,1960,Southern Metropolitan,Hampton East,u
17 Wishart St,3,952000,3,2,246,,Southern Metropolitan,Hampton East,h
27 Charming St,3,1255000,3,2,614,,Southern Metropolitan,Hampton East,h
10a Roydon St,3,1020000,2,2,221,,Southern Metropolitan,Hampton East,t
1/23 Wickham Rd,3,926000,2,2,393,1950,Southern Metropolitan,Hampton East,h
4 Besant St,3,1070000,3,1,583,1970,Southern Metropolitan,Hampton East,h
2/2 Flowerdale Rd,2,801000,2,1,217,1994,Southern Metropolitan,Hampton East,u
28 Roydon St,3,1150000,3,2,0,2005,Southern Metropolitan,Hampton East,t
4/332 South Rd,2,472000,2,1,215,2007,Southern Metropolitan,Hampton East,u
31 Warland Rd,3,1471000,3,2,732,,Southern Metropolitan,Hampton East,h
3 Besant St,2,830000,2,1,658,,Southern Metropolitan,Hampton East,h
2 Harry St,3,1195000,3,1,601,,Southern Metropolitan,Hampton East,h
29 Wickham Rd,3,1300000,3,2,586,1950,Southern Metropolitan,Hampton East,h
18 Charming St,4,1416000,4,2,575,,Southern Metropolitan,Hampton East,h
4 Dane Rd,4,1200000,4,2,0,2002,Southern Metropolitan,Hampton East,h
1/4 Flowerdale Rd,3,865000,3,2,317,,Southern Metropolitan,Hampton East,u
6a Scott St,4,1650000,4,2,317,2005,Southern Metropolitan,Hawthorn,h
49 Berkeley St,3,5100000,3,2,1038,,Southern Metropolitan,Hawthorn,h
4 Bowen St,4,2670000,4,2,336,1905,Southern Metropolitan,Hawthorn,h
23 Elgin St,3,1480000,3,1,228,,Southern Metropolitan,Hawthorn,h
25/510 Glenferrie Rd,1,348000,1,1,0,1950,Southern Metropolitan,Hawthorn,u
23/146 Power St,1,320000,1,1,0,,Southern Metropolitan,Hawthorn,u
9/69 Wattle Rd,3,1189000,3,1,181,1969,Southern Metropolitan,Hawthorn,u
118/862 Glenferrie Rd,2,610000,2,2,85,2014,Southern Metropolitan,Hawthorn,u
13/175 Power St,2,575000,2,1,0,,Southern Metropolitan,Hawthorn,u
8/36 Power St,2,600000,2,1,0,,Southern Metropolitan,Hawthorn,u
188e Riversdale Rd,1,492000,1,1,0,1995,Southern Metropolitan,Hawthorn,u
16/5 Denham St,2,891000,3,1,1585,1970,Southern Metropolitan,Hawthorn,u
2/5 Finchley Ct,2,806000,2,1,0,1930,Southern Metropolitan,Hawthorn,u
23 Melville St,2,1155000,2,1,235,,Southern Metropolitan,Hawthorn,h
7 Brook St,3,2000000,3,2,460,1940,Southern Metropolitan,Hawthorn,h
6/107 Riversdale Rd,2,500000,2,1,0,2007,Southern Metropolitan,Hawthorn,u
13/5 Denham St,2,753000,2,1,0,1960,Southern Metropolitan,Hawthorn,u
7/21 Elphin Gr,1,330000,1,1,0,1970,Southern Metropolitan,Hawthorn,u
14 Malmsbury St,3,1420000,3,1,218,1890,Southern Metropolitan,Hawthorn,h
1/185 Auburn Rd,3,956000,3,2,189,,Southern Metropolitan,Hawthorn,u
5/576 Glenferrie Rd,2,418000,2,1,1056,,Southern Metropolitan,Hawthorn,u
303/25 Lynch St,2,495000,2,1,0,2014,Southern Metropolitan,Hawthorn,u
13/177 Power St,2,525000,2,1,0,,Southern Metropolitan,Hawthorn,u
11/140 Riversdale Rd,1,292000,1,1,0,1966,Southern Metropolitan,Hawthorn,u
10/28 Wattle Rd,2,430000,2,1,1997,,Southern Metropolitan,Hawthorn,u
4/205 Auburn Rd,1,365000,1,1,0,1975,Southern Metropolitan,Hawthorn,u
3/164 Barkers Rd,2,580000,2,1,1089,2003,Southern Metropolitan,Hawthorn,u
530 Burwood Rd,3,1300000,3,2,341,1938,Southern Metropolitan,Hawthorn,h
44 College St,3,1300000,3,1,232,1900,Southern Metropolitan,Hawthorn,h
302/2 Tweed St,2,575000,2,2,0,,Southern Metropolitan,Hawthorn,u
16/557 Glenferrie Rd,1,335000,1,1,3132,,Southern Metropolitan,Hawthorn,u
8/32 Liddiard St,2,440000,2,1,0,1970,Southern Metropolitan,Hawthorn,u
8/1 Muir St,3,1000000,3,3,0,1999,Southern Metropolitan,Hawthorn,u
69 Power St,4,2610000,4,2,0,,Southern Metropolitan,Hawthorn,h
6 Salisbury Gr,3,1741000,3,1,383,1910,Southern Metropolitan,Hawthorn,h
18 Violet Gr,3,2325000,3,2,373,,Southern Metropolitan,Hawthorn,h
3/185 Auburn Rd,2,545000,2,1,0,2004,Southern Metropolitan,Hawthorn,u
9/63 Berkeley St,2,655000,2,1,0,1960,Southern Metropolitan,Hawthorn,u
3 Camden Rd,2,2920000,2,1,791,1928,Southern Metropolitan,Hawthorn,h
13/561 Glenferrie Rd,1,488000,1,1,0,2004,Southern Metropolitan,Hawthorn,u
1/9 Kinkora Rd,3,1510000,3,2,264,1970,Southern Metropolitan,Hawthorn,h
1/41 Morang Rd,1,450000,1,1,0,,Southern Metropolitan,Hawthorn,u
3 Randolph St,3,2065000,3,1,351,1910,Southern Metropolitan,Hawthorn,h
5/67 Auburn Rd,1,350000,1,1,0,1960,Southern Metropolitan,Hawthorn,u
1/27 Glen St,2,645000,2,1,0,,Southern Metropolitan,Hawthorn,u
2/2 Kooyongkoot Rd,3,1400000,3,2,299,1960,Southern Metropolitan,Hawthorn,t
16 Pine St,3,1712000,3,1,342,1900,Southern Metropolitan,Hawthorn,h
3/18 Connell St,2,520000,2,1,0,,Southern Metropolitan,Hawthorn,u
3/1 Elm St,1,480000,1,1,0,1940,Southern Metropolitan,Hawthorn,u
9/4 Lisson Gr,2,630000,2,1,71,,Southern Metropolitan,Hawthorn,u
10 Oak St,4,3225000,4,2,665,1890,Southern Metropolitan,Hawthorn,h
4/178 Power St,2,517000,2,1,0,,Southern Metropolitan,Hawthorn,u
8/203 Auburn Rd,1,320000,1,1,0,,Southern Metropolitan,Hawthorn,u
4 Falmouth St,2,1828500,2,1,243,1885,Southern Metropolitan,Hawthorn,h
7/6 Osborne Ct,1,400000,1,1,0,1950,Southern Metropolitan,Hawthorn,u
78/8 Wallen Rd,4,1650000,4,2,207,2002,Southern Metropolitan,Hawthorn,u
4 Ardene Ct,5,3950000,4,2,1236,1890,Southern Metropolitan,Hawthorn,h
3/566 Glenferrie Rd,2,587500,2,1,1099,1965,Southern Metropolitan,Hawthorn,u
107/567 Glenferrie Rd,2,560000,2,1,0,2013,Southern Metropolitan,Hawthorn,u
23 Edgerton St,4,1936000,4,2,218,1890,Southern Metropolitan,Hawthorn,h
2 Fordholm Rd,5,4250000,5,4,1275,1930,Southern Metropolitan,Hawthorn,h
3 Glen St,5,3500000,5,1,740,,Southern Metropolitan,Hawthorn,h
7/12 Pine St,2,487500,2,1,0,,Southern Metropolitan,Hawthorn,u
11/70 Church St,3,630000,3,1,0,1970,Southern Metropolitan,Hawthorn,u
1 College St,3,1560000,3,2,198,1910,Southern Metropolitan,Hawthorn,h
36 College St,2,2265000,2,1,460,,Southern Metropolitan,Hawthorn,h
305/567 Glenferrie Rd,3,840000,3,2,0,2014,Southern Metropolitan,Hawthorn,u
1B Hepburn St,3,1780000,3,3,88,2011,Southern Metropolitan,Hawthorn,h
11/179 Power St,2,605000,2,1,0,,Southern Metropolitan,Hawthorn,u
8/22 Connell St,2,535000,2,1,1228,1970,Southern Metropolitan,Hawthorn,u
3/35 Creswick St,2,815000,2,1,0,1940,Southern Metropolitan,Hawthorn,u
6/28 Manningtree Rd,3,1975000,3,2,0,2010,Southern Metropolitan,Hawthorn,u
5/155 Power St,2,445000,2,1,0,1960,Southern Metropolitan,Hawthorn,u
8/14 Creswick St,2,663000,2,1,0,,Southern Metropolitan,Hawthorn,u
2/21 Elphin Gr,2,657500,2,1,728,1965,Southern Metropolitan,Hawthorn,u
50 Kinkora Rd,4,5050000,4,4,905,1913,Southern Metropolitan,Hawthorn,h
22/9 Lisson Gr,1,445000,1,1,0,1970,Southern Metropolitan,Hawthorn,u
14/107 Riversdale Rd,2,750000,2,1,747,2007,Southern Metropolitan,Hawthorn,u
4A Simpson Pl,3,1180000,3,1,218,1900,Southern Metropolitan,Hawthorn,h
5/40 Barkers Rd,2,470000,2,1,0,1970,Southern Metropolitan,Hawthorn,u
710/377 Burwood Rd,2,485000,2,1,0,2005,Southern Metropolitan,Hawthorn,u
13/506 Glenferrie Rd,1,290000,1,1,1568,,Southern Metropolitan,Hawthorn,u
466 Auburn Rd,4,1800000,3,2,601,1940,Southern Metropolitan,Hawthorn,h
10/32 Manningtree Rd,2,805000,2,1,0,1970,Southern Metropolitan,Hawthorn,u
5 Wattle Gr,3,1855000,3,1,304,1900,Southern Metropolitan,Hawthorn,h
23 William St,3,1377000,3,1,314,1890,Southern Metropolitan,Hawthorn,h
1/4 Hill St,2,665000,2,1,0,1965,Southern Metropolitan,Hawthorn,u
1/3 Clovelly Ct,2,751000,2,1,711,,Southern Metropolitan,Hawthorn,u
24 College St,3,1551000,3,1,199,1890,Southern Metropolitan,Hawthorn,h
8/67 Denham St,1,415000,1,1,0,,Southern Metropolitan,Hawthorn,u
12/48 Oxley Rd,2,743000,2,1,0,,Southern Metropolitan,Hawthorn,u
74 Denham St,2,1535000,2,1,243,,Southern Metropolitan,Hawthorn,h
5/29 Elphin Gr,2,612500,2,1,859,1960,Southern Metropolitan,Hawthorn,u
59 Mason St,3,2410000,3,2,249,1890,Southern Metropolitan,Hawthorn,h
5/70 Power St,2,690000,2,1,82,,Southern Metropolitan,Hawthorn,u
18/508 Glenferrie Rd,2,695000,2,1,3194,,Southern Metropolitan,Hawthorn,u
10/150 Barkers Rd,2,715000,2,1,0,2001,Southern Metropolitan,Hawthorn,u
35 College St,3,2375000,3,2,472,,Southern Metropolitan,Hawthorn,h
12 Morang Rd,3,1980000,3,2,151,,Southern Metropolitan,Hawthorn,h
8B Myrtle St,2,1055000,2,2,191,1975,Southern Metropolitan,Hawthorn,t
151 Power St,4,1976000,4,2,410,1890,Southern Metropolitan,Hawthorn,h
2/472 Glenferrie Rd,1,382000,1,1,0,,Southern Metropolitan,Hawthorn,u
10/60 Hawthorn Gr,1,499000,1,1,0,1960,Southern Metropolitan,Hawthorn,u
3/32 Power St,2,495000,2,1,0,1970,Southern Metropolitan,Hawthorn,u
9 Power St,5,3750000,5,3,827,1920,Southern Metropolitan,Hawthorn,h
37 Brook St,3,1400000,3,2,164,1890,Southern Metropolitan,Hawthorn,h
109/311 Burwood Rd,1,370000,1,1,0,2014,Southern Metropolitan,Hawthorn,u
13/44 Burwood Rd,2,627500,2,2,0,2000,Southern Metropolitan,Hawthorn,u
216/6 Lisson Gr,2,710000,2,2,0,,Southern Metropolitan,Hawthorn,u
318/6 Lisson Gr,1,485000,2,1,0,,Southern Metropolitan,Hawthorn,u
301/25 Lynch St,1,310000,1,1,0,,Southern Metropolitan,Hawthorn,u
17 Morang Rd,3,3120000,2,1,677,,Southern Metropolitan,Hawthorn,h
3/33 Elphin Gr,2,450000,2,1,0,1970,Southern Metropolitan,Hawthorn,u
27 Falmouth St,3,2160000,3,2,387,1910,Southern Metropolitan,Hawthorn,h
97 Edwin St,2,815000,2,1,589,1930,Eastern Metropolitan,Heidelberg Heights,h
4 Collins St,3,720000,3,1,505,,Eastern Metropolitan,Heidelberg Heights,h
75 Haig St,4,1370000,4,2,481,,Eastern Metropolitan,Heidelberg Heights,h
1/40 St Hellier St,2,757000,2,2,275,,Eastern Metropolitan,Heidelberg Heights,h
2/96 Porter Rd,3,740600,3,2,337,,Eastern Metropolitan,Heidelberg Heights,h
59 Southern Rd,3,580000,2,1,577,,Eastern Metropolitan,Heidelberg Heights,h
16 Bamfield Rd,2,565000,2,2,201,2007,Eastern Metropolitan,Heidelberg Heights,t
78 Edwin St,5,1587500,4,5,599,2013,Eastern Metropolitan,Heidelberg Heights,h
36 Southern Rd,4,758500,2,2,510,,Eastern Metropolitan,Heidelberg Heights,h
2 Bonar St,3,994000,3,2,807,1950,Eastern Metropolitan,Heidelberg Heights,h
16 Eden St,3,725000,3,2,665,,Eastern Metropolitan,Heidelberg Heights,h
7 Flinders St,2,725000,2,1,577,1955,Eastern Metropolitan,Heidelberg Heights,h
4 Milton Ct,3,743000,3,1,673,1950,Eastern Metropolitan,Heidelberg Heights,h
14 Sackville St,3,785000,3,1,592,1950,Eastern Metropolitan,Heidelberg Heights,h
1/62 Southern Rd,3,620000,3,2,215,2005,Eastern Metropolitan,Heidelberg Heights,t
542 Waterdale Rd,2,700000,3,2,608,,Eastern Metropolitan,Heidelberg Heights,h
6/34 Bonar St,3,706750,3,2,250,2012,Eastern Metropolitan,Heidelberg Heights,t
18 Shelley St,2,584000,2,1,428,1950,Eastern Metropolitan,Heidelberg Heights,h
5 Burns Ct,3,909000,3,2,585,1960,Eastern Metropolitan,Heidelberg Heights,h
15 Outhwaite Rd,4,1086000,4,2,724,1960,Eastern Metropolitan,Heidelberg Heights,h
33 Shakespeare Gr,2,680000,2,1,605,1950,Eastern Metropolitan,Heidelberg Heights,h
2/71 Southern Rd,2,440000,2,1,281,1970,Eastern Metropolitan,Heidelberg Heights,u
19 Collins St,2,650000,2,1,620,1950,Eastern Metropolitan,Heidelberg Heights,h
8 Leonard St,5,890000,5,2,596,1972,Eastern Metropolitan,Heidelberg Heights,h
82 Southern Rd,3,650000,3,1,582,1955,Eastern Metropolitan,Heidelberg Heights,h
12 Burns Ct,3,659500,3,1,608,,Eastern Metropolitan,Heidelberg Heights,h
68 Bamfield Rd,3,725000,3,1,580,,Eastern Metropolitan,Heidelberg Heights,h
2/35 Porter Rd,2,605000,2,1,166,2008,Eastern Metropolitan,Heidelberg Heights,u
478 Waterdale Rd,8,770000,8,4,638,1960,Eastern Metropolitan,Heidelberg Heights,h
498 Waterdale Rd,3,950000,3,1,800,1960,Eastern Metropolitan,Heidelberg Heights,h
13 Altona St,4,856000,4,1,722,1975,Eastern Metropolitan,Heidelberg Heights,h
3/17 Burns Ct,3,600000,3,2,251,2012,Eastern Metropolitan,Heidelberg Heights,h
1/97 Bamfield Rd,2,450000,2,1,0,,Eastern Metropolitan,Heidelberg Heights,u
39 McEwan Rd,2,1060000,2,1,837,,Eastern Metropolitan,Heidelberg Heights,h
4 Sackville St,3,850000,3,1,590,,Eastern Metropolitan,Heidelberg Heights,h
92A Southern Rd,2,510000,2,1,244,,Eastern Metropolitan,Heidelberg Heights,h
7 Thames St,3,1100000,3,1,613,1925,Eastern Metropolitan,Heidelberg Heights,h
484 Waterdale Rd,3,915000,3,1,748,1950,Eastern Metropolitan,Heidelberg Heights,h
2/601 Upper Heidelberg Rd,2,400000,2,1,127,1970,Eastern Metropolitan,Heidelberg Heights,u
522 Waterdale Rd,2,526000,2,1,310,1994,Eastern Metropolitan,Heidelberg Heights,h
23 Dougharty Rd,2,570000,2,1,428,,Eastern Metropolitan,Heidelberg Heights,h
13 Glover St,3,550000,3,1,420,1960,Eastern Metropolitan,Heidelberg Heights,h
3/47 Southern Rd,2,510000,2,1,174,,Eastern Metropolitan,Heidelberg Heights,h
96 Lloyd St,2,590000,2,1,586,1955,Eastern Metropolitan,Heidelberg Heights,h
146 Porter Rd,2,920000,2,1,932,1950,Eastern Metropolitan,Heidelberg Heights,h
26 Southern Rd,2,460000,2,1,508,1955,Eastern Metropolitan,Heidelberg Heights,h
50 Swanston St,3,662500,3,1,552,,Eastern Metropolitan,Heidelberg Heights,h
11 Sackville St,4,1000500,4,2,592,1950,Eastern Metropolitan,Heidelberg Heights,h
470 Waterdale Rd,3,631000,3,1,596,1960,Eastern Metropolitan,Heidelberg Heights,h
3a Katoomba Ct,5,765000,3,2,415,,Eastern Metropolitan,Heidelberg West,h
23 Redwood St,3,691000,2,1,624,1965,Eastern Metropolitan,Heidelberg West,h
73 Pacific Dr,3,560000,3,1,523,1960,Eastern Metropolitan,Heidelberg West,h
11 Wewak Pde,2,735000,2,1,602,,Eastern Metropolitan,Heidelberg West,h
1 Goodenough Ct,3,830000,3,2,643,,Eastern Metropolitan,Heidelberg West,h
62 Ramu Pde,3,330000,3,1,468,,Eastern Metropolitan,Heidelberg West,h
335 Liberty Pde,1,405000,1,1,374,,Eastern Metropolitan,Heidelberg West,h
